path	node	rank
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Rice Cluster II	Rice Cluster II	family
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;uncultured	uncultured	genus
Archaea;Halobacterota;Methanonatronarchaeia	Methanonatronarchaeia	class
Archaea;Halobacterota;Methanonatronarchaeia;Methanonatronaechaeales	Methanonatronaechaeales	order
Archaea;Halobacterota;Methanonatronarchaeia;Methanonatronaechaeales;Methanonatronarchaeaceae	Methanonatronarchaeaceae	family
Archaea;Halobacterota;Methanosarcinia	Methanosarcinia	class
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales	Methanosarciniales	order
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;ANME-2a-2b	ANME-2a-2b	family
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;ANME-2a-2b;ANME-2b	ANME-2b	genus
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;ANME-2c	ANME-2c	family
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanoperedenaceae	Methanoperedenaceae	family
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanoperedenaceae;Candidatus Methanoperedens	Candidatus Methanoperedens	genus
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae	Methanosaetaceae	family
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae;Methanosaeta	Methanosaeta	genus
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae	Methanosarcinaceae	family
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;ANME-3	ANME-3	genus
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanimicrococcus	Methanimicrococcus	genus
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanococcoides	Methanococcoides	genus
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanohalobium	Methanohalobium	genus
